"","DC","CD8","Treg","B","M1","M2","Endo","CAF","NK","Tumor"
"TCGA-BR-4253-01",0.0821191627086208,0.0734058278599371,0.0347262594952777,0.0179423754100515,0.134997293144293,0.0717800998226638,0.00720395207211477,0.0218200582007442,0.00581527183067737,0.550189699455619
"TCGA-BR-4255-01",0.0462258755108855,0.0203388718509271,0,0.0203933558961534,0.0411592501751788,0.06817934563457,0.0520464461081096,0.147595278055941,2.090614927473e-07,0.604061367706742
"TCGA-BR-4256-01",0.0842653939961391,0.0246654945079718,0,0.00926737224416575,0.111365247565254,0.0640973986757513,0.054128690715029,0.150061600316184,0.00030391019918672,0.501844891780318
"TCGA-BR-4257-01",0.0770427142286725,0.0131993117605163,0.017569701468196,0.00851342809579827,0.0736713879555099,0.0483358354212089,0.0217370975812401,0.104721489439791,0.00140642902390546,0.633802605025161
"TCGA-BR-4267-01",0.0323436075579854,0.00166168419359343,0.0108778532486353,0.0121964145777578,0.18307235558271,0.00201018404607371,0.0144530169205374,0.0320383965345139,2.47497727217892e-09,0.711346484863216
"TCGA-BR-4279-01",0.102631434177893,0.0217330616659337,0,0.0103535894076052,0.0509608917205322,0.0895919745342387,0.0343004191199717,0.134008416483003,0.00213562883195331,0.55428458405887
"TCGA-BR-4280-01",0.0367446901385823,0.00969682641259591,0.0150305313892815,0.0109977885741811,0.0342524801867468,0.0452807129731628,0.0137084269819704,0.0239343064680117,0.00146888481023596,0.808885352065232
"TCGA-BR-4292-01",0.0440135561766207,0.012639017810789,0.0149139405439539,0.00783182655181377,0.0550617368635669,0.0297502688904859,0.0166695060224736,0.022747474542544,0.00334272087561216,0.79302995172214
"TCGA-BR-4294-01",3.74607640558017e-20,0.00197782258811805,0.00216139054864875,0.0039303799463694,0,0.0438599731512433,0.00561010001783547,0.00505967480874832,1.56092621994249e-09,0.937400657378111
"TCGA-BR-4357-01",0.0634470894824828,0.0204361032191534,0,0.0142711369229382,0.103680859460377,0.073047500762608,0.0190626994875892,0.0874633719959005,0.00166468978190774,0.616926548887043
"TCGA-BR-4361-01",0.0410214320390814,0.0182993503087421,0.0430749741832607,0.0059158407730189,0.100539065785613,0.0696369287096986,0.010574305489096,0.159775687550508,0.000324335187638769,0.550838079973343
"TCGA-BR-4362-01",0.0387664473802272,0.0194813356621575,0.0216522631454132,0.0140991842985397,0.109305722842679,0.014147293165736,0.0253508334869478,0.0568139987669103,0.00281426332351151,0.697568657927878
"TCGA-BR-4363-01",0.0500998406562378,0.0130979970303541,0,0.04699263853125,0.0776451730553811,0.0545832737948016,0.0138825141131868,0.177290679430275,0.000760004782573032,0.565647878605941
"TCGA-BR-4366-01",0.0204910295509541,0.0205689353623599,0.00227429948057056,0.0111003056597582,0.0303807032007809,0.0595821310735168,0.0210779743414437,0.0593801225576073,6.9274935008097e-10,0.775144498080259
"TCGA-BR-4367-01",0.0586051476399117,0.0126984213724851,0.0336777941124011,0.0140903736025789,0.0622162293293581,0.0847285993915915,0.0290792012856369,0.0860643069512203,0.00125903973766517,0.617580886577151
"TCGA-BR-4368-01",0.0837378079185077,0.0375544173238084,0,0.0137662380640596,0.0492043018744455,0.0400591205607186,0.0403504266118751,0.052578054764642,3.0097070721388e-10,0.682749632580972
"TCGA-BR-4369-01",0.0502705758489804,0.00297871097623131,0.021510987154548,0.0104220995826195,0.028243655913084,0.0457137392517913,0.0184540937787773,0.0565910679060612,1.01982070281524e-08,0.7658150593897
"TCGA-BR-4370-01",0.0726541225665556,0.0105523748242074,0.0365008487911115,0.0124701740621273,0.105710327099201,0.0431335867499776,0.0295209378808007,0.231360815348605,0.000145176646523733,0.457951636030891
"TCGA-BR-4371-01",0.0254684475954537,0.00239837445163329,0,0.00807132624761439,0.0222517720145339,0.0265298315015426,0.0124625702604997,0.0194341757489222,8.57994342226256e-05,0.883297702745578
"TCGA-BR-6452-01",0.0546116145745662,0.0117706098881556,0.0344764646269276,0.0143917079998455,0.077808422141157,0.0419964593372111,0.0227477426950741,0.0998543994758373,0.00217666262506142,0.640165916636164
"TCGA-BR-6453-01",0.107929712479024,0.0181138314558002,0.0284883672099869,0.242201754413611,0.0104769925893119,0.0862660280102225,0.0677025139944686,0.0667789654047672,0.000363891268361687,0.371677943174446
"TCGA-BR-6454-01",0.03818282433833,0.0608766208313016,0.0315154073435718,0.0335370821768417,0.0609229038573,0.0245977402299749,0.0283758626552138,0.0233426139393584,0.000807885569595716,0.697841059058512
"TCGA-BR-6455-01",0.0674521044749369,0.0339709837246199,0,0.00912053763258756,0.0304923809106762,0.0261651868281043,0.0355042297361493,0.0468066370148632,2.84878628147319e-10,0.750487939393184
"TCGA-BR-6456-01",0.0492353100400237,0.0127554434626128,0,0.00796901273445541,0.113418635121632,0.027202990163085,0.0434209900809682,0.293276231915399,0.000230881557428777,0.452490504924395
"TCGA-BR-6457-01",0.0505697356034631,0.0165568769239465,0,0.0330835899247337,0.0330771129920725,0.053575248367404,0.114779251832961,0.242952268270817,0.000266809178926225,0.455139106905676
"TCGA-BR-6458-01",0.0510682343683261,0.0289999187856833,0.0485097578030616,0.012529077233404,0.0663730666624259,0.0674430087108533,0.0310171847400819,0.258445921927149,0.000285543741739835,0.435328286027275
"TCGA-BR-6563-01",0.0633444894061797,0.0549358931019378,0.0204735404439165,0.0565959690720473,0.0267518846692337,0.0824275715971202,0.0556979464456837,0.167208991770481,0.000395362472136442,0.472168351021264
"TCGA-BR-6564-01",0.0310538793416683,0.0116312485065281,0.01706321209677,0.011211126006657,0.0278243599120729,0.0457068697223005,0.0869111259793936,0.0810870887014848,3.87640985390926e-09,0.687511085856715
"TCGA-BR-6565-01",0.055868036121601,0.0217822992123583,0,0.0146969860447259,0.0502966442832774,0.0389798410051272,0.025249364226286,0.120743954171182,0.00102581507034596,0.671357059865096
"TCGA-BR-6566-01",0.0423483067754677,0.00377445514525515,0.0113920373569978,0.0044423814308779,0.0820982104076838,0.0241515897405433,0.00718877927726138,0.239478086920469,0.00544964798404278,0.579676504961401
"TCGA-BR-6705-01",0.0530345625012024,0.00570347029449566,0,0.0207509316828379,0.0375433092143773,0.0638121694127815,0.198324155328025,0.619822101140854,0.00100913895218499,1.61473241282709e-07
"TCGA-BR-6706-01",0.0571682127250467,0.109984531636664,0.0326142636874103,0.0197437324394041,0.11429857505704,0.0481913493804097,0.055595727040277,0.149816373866984,0.00790384563478847,0.404683388531976
"TCGA-BR-6707-01",0.0597051659071038,0.0505652260045422,0.00824065404240613,0.0110009291163534,0.0301566867088571,0.0217646904577243,0.022563327419984,0.0264060983771878,0.00246974171888242,0.767127480246959
"TCGA-BR-6709-01",0.112591536321421,0.0664649916000976,0.0325640835378301,0.0209174193258847,0.062896991583539,0.0495997379158769,0.0272253418665221,0.130481849598171,3.69160307493592e-08,0.497258011334627
