"","DC","CD8","Treg","B","M1","M2","Endo","CAF","NK","Tumor"
"TCGA-BF-AAP2-01",0.0198552441634512,0.0109088610137855,0.0178751980975,0.0140839581689518,0.024475795193461,0.00708616334543054,0.00791003136946987,0.00917082482766923,0.000762519357032978,0.887871404463248
"TCGA-BF-AAP4-01",0.0196847622490971,0.0431270002222949,0.0119988256849208,0.0140780633033446,0.0257935068278352,0.0141353069451773,0.012795614634104,0.0362587765787012,0.00465799092163119,0.817470152632894
"TCGA-BF-AAP6-01",0.023059096815387,0.00088120409894217,0.0148616082690552,0.0175537220979458,0.021530684985237,0.0054729823482068,0.00965679381323773,0.0519940433248273,8.19908001003567e-10,0.854989863427253
"TCGA-BF-AAP7-01",0.0333559443810765,0.0670128901642972,0,0.00523133677199723,0.0414833413919737,0.041470634978256,0.0256592177621755,0.0368529369576337,0.00991037532425153,0.739023322268339
"TCGA-BF-AAP8-01",0.00902018597839976,0.00974539931053186,0,0.00298147841121948,0,0.0808656969121346,0.00736972935448893,0.00758445174646875,5.77296848466997e-08,0.882433000557072
"TCGA-D3-A1Q1-06",0.00275231439246999,0,0,0.00791645631833287,0.00134889924818618,0,0.0109130723366274,0.00939881157149865,3.68996931265693e-08,0.967670409233192
"TCGA-D3-A1Q3-06",0.0359450577712626,0.0307381707061744,0.0240741937709217,0.0278985940548709,0,0.0308668958966523,0.0219383239352131,0.0216815394759527,3.70704379987323e-09,0.806857220681909
"TCGA-D3-A1Q4-06",0.0118168685311708,0,0,0.0146196711078269,0.0137983249289158,0.0021128344403535,0.0856933305434579,0.21560466317048,2.1240066800563e-05,0.656333067210995
"TCGA-D3-A1Q5-06",0.00779270194986792,0.00189527663316643,0.0679810440275963,0.0112396587135278,0.00296568454243671,0,0.0204782726928907,0.0546884161698529,1.10823876616342e-08,0.832958934188274
"TCGA-D3-A1Q6-06",0.0094999757702566,0.00265128079973078,0.0394862982056961,0.00376779363576195,0.070727387226345,0,0.00841397165870657,0.00732054081550228,3.11358803362104e-11,0.858132751856865
"TCGA-D3-A1Q7-06",0.0540830764181644,0.157776655460646,0.0283885500960839,0.0201639741164453,0.0816790486113061,0.0429087642994781,0.0566623406447198,0.0516682307634316,0.00169489959573709,0.504974459993987
"TCGA-D3-A1Q8-06",0.027730432504517,0.00263666761831787,0.0400337899558308,0.0229761791093051,0.054773487997688,0.0479755135720873,0.0458562792625822,0.149545924305071,1.73721256742125e-07,0.608471551953344
"TCGA-D3-A1Q9-06",0.00910722062993771,0.0255908374976596,0.0153098943452626,0.00397987305286122,0.0307187831925825,0.031969248829074,0.0171476246871097,0.0233398129526192,2.84056639144277e-08,0.842836676407229
"TCGA-D3-A1QA-06",0.0262545655433334,0.00544401475504069,0.00949608926155241,0.00853148209991376,0.016644518688522,0.0118840940152059,0.00984523631320878,0.0124333677396441,0.000308470477031612,0.899158161106547
"TCGA-D3-A1QB-06",0.0349593101078332,0.17892019052853,0.00796413926556138,0.0179813994299988,0.0740680452056057,0.0312451409053228,9.98791771787575e-06,0.00604991682929032,0.00364446272814503,0.645157407081995
"TCGA-D3-A2J6-06",0.0307048903150852,0.0546408563697051,0.00580603624918504,0,0.0691994052963648,0.0116381322064203,0.0042722189832731,0.0378925161018007,1.47817376834954e-08,0.785845929696428
"TCGA-D3-A2J7-06",0.0115320641401102,0.0340460672055694,0.0331073721719037,0.01152010719287,0.078702117705702,0.0180339340708462,0.0247207560970856,0.0550687757228295,3.94106005429258e-09,0.733268801752023
"TCGA-D3-A2J8-06",0.0660934375717911,0.072605496231583,0,0.0132636564682914,0.0517083384698809,0.0247398611997809,0.0353768551265942,0.0281147045683125,0.00834435243581166,0.699753297927954
"TCGA-D3-A2J9-06",0.0559152251888894,0.256301784316866,0.024117423807971,0.0638943176049336,0.0775246959838038,0.0293949018543916,0.0249231884100325,0.0173613888338048,0.00140029760525845,0.449166776394049
"TCGA-D3-A2JA-06",0.0141907900163302,0.0171753519532965,0.0357931840813785,0.0123562878050097,0.0244509597224789,0.0756543158221041,0.0263866732163358,0.191648411238404,0.000954095377947475,0.601389930766715
"TCGA-D3-A2JB-06",0.0339996852319938,0.0429601670224269,0,0.182257228071365,0.0363706076085274,0.0311738659877128,0.0320857879964396,0.00807597914629697,0.00161285035123908,0.631463828583999
"TCGA-D3-A2JC-06",0.0171147045708495,0.0371214293065222,0.0398115198729096,0,0.181476635173327,0.0165183664905837,0.00834549501846369,0.0132418903432886,8.27242713047396e-08,0.686369876499784
"TCGA-D3-A2JD-06",0.0297456458389471,0.0117640983159032,0.0388396718055392,0.0912148214930518,0.0168631559085597,0.0132964208192424,0.037008038392446,0.0468228772209873,0.000370015640332989,0.71407525456499
"TCGA-D3-A2JE-06",0.0105716109501399,0,0.00958856232448794,0.0113176033043331,0,0,0.00773942333922351,0.00811582199412281,1.76141088041507e-10,0.952666977911552
"TCGA-D3-A2JF-06",0.0324957280662674,0.0340343700534192,0.0321415914229807,0.0337677494566796,0.0456040511181478,0.00952934309885958,0.0103007741573132,0.005649970552079,0.00228678650589852,0.794189635568355
"TCGA-D3-A2JG-06",0.0171213035840323,0.00275951844160123,0.00911244565158016,0.00302068385462278,0.0270789582894367,0.00623323134501672,0.00290515613529491,0.0136318499829492,1.27213404081624e-07,0.918136725502062
"TCGA-D3-A2JH-06",0.0288506040806315,0.221935865477996,0.00675366712873249,0.0173903957896076,0.0425905741018952,0.0172578438680853,0.0129904787320164,0.0126164276919967,0.00386624347566815,0.635747899653371
"TCGA-D3-A2JK-06",0.0248597503895459,0,0,0.00789598697478595,0.017927279684619,0.0373129390272903,0.0233054006525191,0.0288001854893043,4.60856518727813e-05,0.859852372130063
"TCGA-D3-A2JL-06",0.0185774504714781,0.072894743162516,0.012121900760425,0.00967102109529266,0.0438852792728136,0.0206672183447044,0.0111522715437874,0.00462673103381341,0.000162226590875989,0.806241157724294
"TCGA-D3-A2JN-06",0.0183550518561589,0.0397549204874416,0.0119187644085571,0.0179943628283465,0.0266254188292991,0.0282267386572738,0.0181257021360692,0.0249485209721359,0.0020194433363833,0.812031076488335
"TCGA-D3-A2JO-06",0.035797092540376,0.0687786429681716,0.037335957662671,0.0602000256251044,0.0579739775284614,0.0238445972291289,0.00982527132271256,0.0283042422947978,0.00963848287047191,0.668301709958104
"TCGA-D3-A2JP-06",0.0095708530514586,0.0363076424003451,0.0180076139684879,0.0163057871355012,0.0519298863504507,0.0212934574795915,0.00879201844584914,0.0192737723526396,0.000961807630373302,0.817557161185303
"TCGA-D3-A3BZ-06",0.0312467337838689,0.0529425728763265,0,0.0254983198176205,0.0511679001060717,0.0413663267260723,0.105144801266,0.21243059652533,0.00210561798147,0.478097130917239
"TCGA-D3-A3C1-06",0.0215595358167389,0.00408471007667469,0.00520030498114042,0.00561906323592505,0.104560525463453,0,0.0164052105197833,0.0109835644275677,3.18038042036418e-09,0.831587082298337
"TCGA-D3-A3C3-06",0.0155915543962942,0.0224283412172849,0,0.00919400206419525,0.0216933756479795,0.0137107887893049,0.00333449619154635,0.0029487747933884,0.000392484327187171,0.910706182572819
"TCGA-D3-A3C6-06",0.00357048300924557,0,0,0.00336474744770643,0.0414775311273705,0.00854421407794353,0.0202158725154895,0.0413724220651909,1.09013599643391e-08,0.881454718855694
"TCGA-D3-A3C7-06",0.0349156492824214,0.0303153332192495,0.0549059858024368,0.0103974719965606,0.0464361515955389,0.0201444404519571,0.0118910603481641,0.0132003368991806,0.000127187795042938,0.777666382609448
"TCGA-D3-A3C8-06",0.0223304292252849,0.359945796504051,0,0.00216625668247331,0.0688798701294724,0.0342738958978797,0.00415123611640644,0.0348805825280427,0.000327123437162155,0.473044809479228
"TCGA-D3-A3CB-06",0.076546505883046,0.158776134390412,0.0296089031860218,0.0569250666636948,0.0617941520571848,0.0737394648166707,0.0162071369812133,0.0124846497338543,2.53440254061519e-08,0.513917960943877
"TCGA-D3-A3CC-06",0.00679055231335348,0.000401145625617322,0.00630280880403886,0.010676108586932,0.0102077202773618,0.0726571674521553,0.0139468902794883,0.0663465399587632,8.42522419578707e-09,0.812671058277066
"TCGA-D3-A3CE-06",0.0307348823215868,0.0819999462334911,0.0213089722016446,0.0276158838819447,0.0628207625896192,0.027982195112703,0.0236342093585237,0.0175818849286773,2.92118414056326e-09,0.706321260450626
"TCGA-D3-A3CF-06",0.0421141949685743,0.0229198861608819,0.041611386096554,0.0705311402121864,0.0206222656254606,0.0468184230548324,0.0240354797186895,0.0203100823748126,4.13566219796596e-09,0.711037137652346
"TCGA-D3-A3ML-06",0.0006027382487051,0,0.00893871995240387,0.00307512834798164,0.00196731352748443,0,0.0115045010611781,0.0050128884796876,1.71538047797242e-09,0.968898708667179
"TCGA-D3-A3MO-06",0.0104451228688688,0,0.0197922115629795,0.00872025910986129,0.0234541815208256,0.0139172632866449,0.0210775228737521,0.0396246931239181,6.56481097338521e-09,0.862968739088339
"TCGA-D3-A3MR-06",0.0153267601029762,0.0959807157594816,0.0243272893474434,0.0303308980585938,0.0796773329146187,0.019295728921291,0.0171634098293548,0.0264756010996912,0.00162966389983325,0.689792600066716
"TCGA-D3-A3MU-06",0.0131487023194673,0.00767988241034928,0.013193575873364,0.0155774149110721,0.0438480355479999,0.0150842242177895,0.0176093030414362,0.122123859657929,7.48938302114775e-05,0.751660108190381
"TCGA-D3-A3MV-06",0.00212950996189246,0.00108370503090312,0.0144431565015928,0.0212545939150718,0.0333582473557893,0,0.0210547264490848,0.0250136524831275,4.86373095495264e-09,0.881662403438807
"TCGA-D3-A51E-06",0.00631672601216408,0.0403239373760295,0.0266831952644925,0.00649449068744721,0.0957245457654538,0.00892164748939001,0.0067652734749811,0.00867649263210772,9.90062461583259e-09,0.80009368139731
"TCGA-D3-A51F-06",0.0286081511588448,0.329231716527904,0.00361782839648021,0.00946614571630578,0.108004395537873,0.0543288320580235,0.00514373076890535,0.0976170920697775,1.76234700994407e-07,0.363981931531186
"TCGA-D3-A51G-06",0.0235597977829792,0.0276718018140967,0,0.010403745683585,0.0352074763938115,0,0.0146399303286976,0.0609956307912597,4.79039753535333e-09,0.827521612415173
"TCGA-D3-A51H-06",0.0439153545729422,0.013302482210356,0.037993140069178,0.42318369537154,0.0289308721179342,0.0254675580135761,0.018704873761545,0.00873446257042696,0.00321662459534867,0.396550936717153
"TCGA-D3-A51J-06",0.0489101759605493,0.125133769730181,0.0296253636354942,0.0208492434695981,0.0768291423747266,0.0230640575856654,0.0108395926533868,0.0198187116165364,0.00235320389790051,0.642576739075962
"TCGA-D3-A51K-06",0.0224592150347682,0.0134935797010697,0,0.0124006308423076,0.0167035080150514,0.0267702839074888,0.00741653517728057,0.00206021616513032,0.00124270803309319,0.89745332312381
"TCGA-D3-A51N-06",0.0302966470211114,0.00829004091834722,0.0205227661909341,0.00760271999749042,0.0980726428752713,0.0268194854458357,0.0120937627781294,0.00336467721158364,0.0004812385060763,0.792456019055221
"TCGA-D3-A51R-06",0.00124839172900223,0,0,0.0161578259630388,0.000411554940579584,0.00562083388133791,0.0164256220043459,0.0215106886846598,2.7262685392098e-09,0.938625080070767
"TCGA-D3-A51T-06",0.0127354746776603,0.00775358780117788,0.0174324569897195,0.0164752079621924,0.0320989276607493,0.0124205506412809,0.00722331832332894,0.00926226114829742,0.000885142392086852,0.883713072403506
"TCGA-D3-A5GL-06",0.00171436577189131,0.00016429687267422,0.0073888937637186,0.00552667117069766,0.0170458156577071,0.0108041615106532,0.00901974788144538,0.0180853365075575,7.05927619911857e-09,0.930250703804379
"TCGA-D3-A5GN-06",0.0111510434153129,0.0369732488511851,0.0325778669575675,0.00760229852017823,0.0555182806571059,0,0.0161559331326879,0.0444800603351392,1.18476971467368e-07,0.795541149653852
"TCGA-D3-A5GO-06",0.0126189661285374,0.0179733384705374,0.0178062230762253,0.00838362179468808,0.0385611852602047,0.0298871290193975,0.00597610891799743,0.0156000066532254,0.000282626583569162,0.852910794095618
"TCGA-D3-A5GR-06",0.0257269515179013,0.0232172378507858,0.0392418774139104,0.0658666340280048,0.0893387474166353,0.0143274315055809,0.0150089543111263,0.0296096034773788,0.000709193151136644,0.69695336932754
"TCGA-D3-A5GS-06",0.00308868123635983,0.0399152962814594,0.0218740654503482,0.0138938308169296,0.0617904837242108,0.0191752988767774,0.0115281926364571,0.0190967541711705,3.12291236726893e-08,0.809637365577163
"TCGA-D3-A5GT-01",0,0.00195688339139817,0.00150913563427143,0.00496399932504201,0,0.021142047240351,0.00550616613212268,0.0070595904013545,1.62872020389353e-08,0.957862161588258
"TCGA-D3-A5GU-06",0.014835236943321,0.0407886836118686,0.0241701806987356,0.01310857617152,0.00322926626416885,0.00706291761396149,0.0150935554122127,0.0120394513153744,9.81078994887569e-10,0.869672130987758
"TCGA-D3-A8GB-06",0.0315583928336677,0.055628911414817,0.0244170033470769,0.0355543423181553,0.0237426480004627,0.0235583561549433,0.0363865071223233,0.0952964615249618,0.00639544462149843,0.667461932662094
"TCGA-D3-A8GC-06",0.00713292169379404,0.00400763340884997,0.0147401833847751,0.0158032971437073,0.0520689713654448,0.0122607003479659,0.0131872185501114,0.0121428966868699,5.37532261954012e-10,0.868656176880949
"TCGA-D3-A8GD-06",0.0351398601895022,0.0733627114755746,0.0492302991579744,0.088140807665117,0.0419887163905082,0.025564915726522,0.00644623855222158,0.0113396418216444,0.011484943824738,0.657301865196198
"TCGA-D3-A8GE-06",0.0564241278696293,0.0137417691234686,0.11660993841286,0.00603791420151567,0,0.0405309295063571,0.0533312659650902,0.169109203946869,1.01323643190518e-08,0.544214840841846
"TCGA-D3-A8GI-06",0.0074815750362655,0,0.0212319095158999,0.0065198673907926,0.0274335687263148,0.0146135390850826,0.029608853413388,0.179188592579125,0.0003617957714214,0.71356029848171
"TCGA-D3-A8GJ-06",0.0553460080162873,0.154864265402097,0.0141480983834011,0.00907335480188213,0.0684551508261047,0.00455118916376791,0.00111039236714054,0.0128898639773826,0.00239507699394207,0.677166600067995
"TCGA-D3-A8GK-06",2.65172007178432e-05,0,0.00604686509614058,0.00497632689458564,0.0102919458060838,0.0101356962921925,0.00849252197704661,0.00484717012110305,8.4543051386801e-09,0.955182948157825
"TCGA-D3-A8GL-06",0.00155669209847475,0,0.0176703868429734,0.0287779569930748,0.00394424787422267,0,0.0186348537143732,0.00947866313853042,3.23261789006027e-10,0.919937199015089
"TCGA-D3-A8GM-06",0.0217900504448551,0.0285094495233003,0.0572872563601694,0.020106673891294,0.037702319054809,0.0209816232812774,0.0165621478861743,0.0243782481525247,0.000455692301805347,0.77222653910379
"TCGA-D3-A8GN-06",0.0243824927448613,0.0664803368092911,0.020398028410494,0.0224386901127549,0.0973754330703026,0.0171273775749187,0.0221443280529467,0.0410717279355279,0.000842548471570402,0.687739036817332
"TCGA-D3-A8GO-06",0.0281896844630908,0.006548239863889,0,0.0819290290418728,0.0541983748876626,0.00113532949921744,0.0121410832542512,0.00644334246124722,0.000598326429914761,0.808816590098854
"TCGA-D3-A8GP-06",0.000584684612960522,0.00488365351187112,0.0128651744156533,0.00702599093114633,0.00171603028764157,0,0.0133520817014315,0.00687154440208323,5.03772075788975e-09,0.952700835099492
"TCGA-D3-A8GQ-06",0.0026912778191801,0.00634218115254146,0.0243346863475717,0.0179657894260235,0.0526010057625574,0,0.0137353411364526,0.0282085381230257,1.73646932378862e-09,0.854121178496178
"TCGA-D3-A8GR-06",0.00081238364198131,0.000547988448980129,0.00604592761879573,0,0.0119735029741681,0.0141463063521348,0.0146370209706269,0.00503273233205189,1.15591830111914e-05,0.94679257847825
"TCGA-D3-A8GS-06",0.0337593768770763,0.0500111199067512,0.0125655535686818,0.0251793813571158,0.0332978489528829,0.0059448407794972,0.00791806794083689,0.00161441145826829,0.00437397650596208,0.825335422652928
"TCGA-D3-A8GV-06",0.00192460855688302,0.00186532295284803,0.0231406973957477,0.00401499022808195,0.026847639057354,0.00361120532752914,0.0100067018062346,0.0207812462501673,5.2578305770642e-08,0.907807535846848
"TCGA-D9-A148-06",0.00456712723004291,0.0116831430528622,0.00927456727990173,0.00959175243304564,0.0167293467774336,0.0101504674959981,0.0189448629323554,0.0205233705899177,0.000317318670347931,0.898218043538095
"TCGA-D9-A149-06",0.016793135259224,0.0298856269315022,0.0198907180584876,0.0217164364960064,0.0508644787144811,0.0241672676146854,0.00719912190295307,0.0211570494500251,0.00159073196363786,0.806735433608997
